ARCHIVO;TIMES;OPT;timed;timef
quadatric2;200;-Os;5,265381;5,290516
quadatric2;200;-O1;1,213259;1,608089
quadatric2;200;-O2;1,024760;1,547859
quadatric2;200;-O3;1,013708;1,554206
quadatric2;300;-Os;7,532850;7,165033
quadatric2;300;-O1;1,777013;2,442713
quadatric2;300;-O2;1,539869;2,317408
quadatric2;300;-O3;1,529048;2,335936
quadatric2;400;-Os;10,526228;9,884039
quadatric2;400;-O1;2,442433;3,394818
quadatric2;400;-O2;2,027976;3,109610
quadatric2;400;-O3;2,037439;3,127736
quadatric2;500;-Os;13,084512;13,132858
quadatric2;500;-O1;3,008159;4,187148
quadatric2;500;-O2;2,528444;3,860290
quadatric2;500;-O3;2,527768;3,861987
quadatric2;600;-Os;15,685650;15,742100
quadatric2;600;-O1;3,610455;4,998314
quadatric2;600;-O2;3,026818;4,655958
quadatric2;600;-O3;3,022061;4,644797
quadatric2;700;-Os;18,344181;18,365226
quadatric2;700;-O1;4,235022;5,784510
quadatric2;700;-O2;3,551258;5,380588
quadatric2;700;-O3;3,529315;5,382311
quadatric2;800;-Os;20,929300;20,976653
quadatric2;800;-O1;4,659680;6,455736
quadatric2;800;-O2;4,037948;6,181250
quadatric2;800;-O3;4,002549;5,903507
quadatric2;900;-Os;23,788795;23,817733
quadatric2;900;-O1;5,435649;7,569955
quadatric2;900;-O2;4,555844;6,945320
quadatric2;900;-O3;4,541103;6,960059
quadatric2;1000;-Os;24,865582;24,296297
quadatric2;1000;-O1;6,111633;8,316715
quadatric2;1000;-O2;4,983527;7,640212
quadatric2;1000;-O3;5,069958;7,717835
quadatric3;200;-Os;5,139741;4,899801
quadatric3;200;-O1;1,236660;0,964367
quadatric3;200;-O2;1,023486;0,957388
quadatric3;200;-O3;1,006118;0,924011
quadatric3;300;-Os;6,970824;7,017234
quadatric3;300;-O1;1,880684;1,445886
quadatric3;300;-O2;1,561254;1,419741
quadatric3;300;-O3;1,538670;1,414756
quadatric3;400;-Os;10,495537;10,530069
quadatric3;400;-O1;2,487847;1,920141
quadatric3;400;-O2;1,992881;1,806265
quadatric3;400;-O3;2,067375;1,864466
quadatric3;500;-Os;12,336548;12,334925
quadatric3;500;-O1;2,965559;2,396217
quadatric3;500;-O2;2,526045;2,340628
quadatric3;500;-O3;2,560622;2,333520
quadatric3;600;-Os;15,778096;14,989618
quadatric3;600;-O1;3,699082;2,876478
quadatric3;600;-O2;3,046996;2,831861
quadatric3;600;-O3;3,169564;2,917639
quadatric3;700;-Os;17,541778;16,187868
quadatric3;700;-O1;4,138393;3,365692
quadatric3;700;-O2;3,460641;3,226086
quadatric3;700;-O3;3,473847;3,159398
quadatric3;800;-Os;20,040134;18,674682
quadatric3;800;-O1;4,850507;3,832190
quadatric3;800;-O2;3,934258;3,680424
quadatric3;800;-O3;3,954884;3,617513
quadatric3;900;-Os;21,210634;22,819957
quadatric3;900;-O1;5,789719;4,489728
quadatric3;900;-O2;4,469166;4,190373
quadatric3;900;-O3;4,518432;4,216895
quadatric3;1000;-Os;25,068526;23,874686
quadatric3;1000;-O1;6,009371;4,761111
quadatric3;1000;-O2;4,983459;4,634224
quadatric3;1000;-O3;4,959392;4,485397
